output_csv_path,SENTENCE_NAME,SENTENCE,sentence_decoder,beam_size,top_k,window_size,stride,BLEU,ROUGE-1,ROUGE-L,Cosine
cwLJfXFf9ks_0-8-rgb_front_W32_S32.csv,cwLJfXFf9ks_0-8-rgb_front,The principles of Aikido can be applied to daily life in many different situations.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
1-xK5UtDSmE_0-2-rgb_front_W32_S32.csv,1-xK5UtDSmE_0-2-rgb_front,"We're going to look at it from several aspects and the first thing that I would want to speak to would be the owner of the business, the CEO and in my profession, and I work for a company that provides wellness programs.",this is a mock sentence,5,10,32,32,0.0,4.08,4.08,0.0
ETOZLBScxWY_0-5-rgb_front_W32_S32.csv,ETOZLBScxWY_0-5-rgb_front,"Hi, this is John Stewart and this is some repair tips for your tent.",this is a mock sentence,5,10,32,32,0.0,21.05,21.05,31.13
39FN42e41r0_0-1-rgb_front_W32_S32.csv,39FN42e41r0_0-1-rgb_front,"MICHAEL ROSENGART: Right now, I'm here with two personal trainers, Ryan Regensburg and Jonesy and we're doing some renegade rows.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
48Hj_AyP3Fk_0-2-rgb_front_W32_S32.csv,48Hj_AyP3Fk_0-2-rgb_front,Hello.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
EjzQn4ReeeI_0-3-rgb_front_W32_S32.csv,EjzQn4ReeeI_0-3-rgb_front,"Alright, in this clip we'll be doing the upper body on our cute, more cartoonized angel, and we're just going to give him a simple, white robe.",this is a mock sentence,5,10,32,32,0.0,11.76,11.76,4.98
3EjKvwck6ss_0-1-rgb_front_W32_S32.csv,3EjKvwck6ss_0-1-rgb_front,"Now that we've blow dried and separated all the sub-sections, what we're going to do is go ahead and start with our finishing products.",this is a mock sentence,5,10,32,32,0.0,6.25,6.25,4.89
bbSKqkE4EBs_0-8-rgb_front_W32_S32.csv,bbSKqkE4EBs_0-8-rgb_front,In this segment we're going to take a moment to talk about the benefits of Qigong breathing.,this is a mock sentence,5,10,32,32,0.0,17.39,17.39,6.28
11JT4jRNI-o_0-2-rgb_front_W32_S32.csv,11JT4jRNI-o_0-2-rgb_front,Let's go to the squat position now and add the tubing into that.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
DfnHNkTE7mE_0-5-rgb_front_W32_S32.csv,DfnHNkTE7mE_0-5-rgb_front,I got my first job back in 1984 on a TV series called Miami Vice.,this is a mock sentence,5,10,32,32,0.0,10.0,10.0,0.0
eY32ru3Nstc_0-8-rgb_front_W32_S32.csv,eY32ru3Nstc_0-8-rgb_front,"I'm going to show you how to make a Razberi Sunsplash, a wonderfully fruity cocktail.",this is a mock sentence,5,10,32,32,0.0,9.52,9.52,0.0
cHFW_U9e4sM_0-8-rgb_front_W32_S32.csv,cHFW_U9e4sM_0-8-rgb_front,The next point you're going to use for the lower legs especially is inner courtyard or stomach 44.,this is a mock sentence,5,10,32,32,0.0,8.33,8.33,5.97
1aJwX9nRlmk_0-2-rgb_front_W32_S32.csv,1aJwX9nRlmk_0-2-rgb_front,"ELIZABETH ROSE: The next thing we're going to do is bring some movement into this area with all the tension, where your headache is happening.",this is a mock sentence,5,10,32,32,0.0,12.9,12.9,16.68
b9zJhvHGxyk_0-3-rgb_front_W32_S32.csv,b9zJhvHGxyk_0-3-rgb_front,My name is Kristy I'm working at the Curves in West Jordan Utah.,this is a mock sentence,5,10,32,32,0.0,10.53,10.53,7.97
bBHYQCDp_9A_0-3-rgb_front_W32_S32.csv,bBHYQCDp_9A_0-3-rgb_front,"When you're running a press, the defense is running a press, one thing that you want to learn how to do, is break that press.",this is a mock sentence,5,10,32,32,0.0,12.9,12.9,8.77
DwlVtUKfv3s_0-5-rgb_front_W32_S32.csv,DwlVtUKfv3s_0-5-rgb_front,"As you are getting ready for the ball to come over the net and to hit it, it's important that you're moving side to side and then bouncing on the balls of your feet.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
bHdXYjk977I_0-3-rgb_front_W32_S32.csv,bHdXYjk977I_0-3-rgb_front,"Next we are going to talk about is, I am going to do a necklace and I am going to make a turquoise necklace since I have lots of turquoise here to choose from.",this is a mock sentence,5,10,32,32,0.0,10.26,10.26,3.73
4GG2H4QR9W8_0-2-rgb_front_W32_S32.csv,4GG2H4QR9W8_0-2-rgb_front,How you doing?,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
FMSiqrDXABU_0-3-rgb_front_W32_S32.csv,FMSiqrDXABU_0-3-rgb_front,"Okay, right now we're going to talk about laying out the job.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
33YRZ5UZTA4_0-2-rgb_front_W32_S32.csv,33YRZ5UZTA4_0-2-rgb_front,"JASON PAINTER: Hi, I'm Jason.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
cw5evdziBB4_0-8-rgb_front_W32_S32.csv,cw5evdziBB4_0-8-rgb_front,Hello welcome back!,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
cDJuwtDYaSg_0-8-rgb_front_W32_S32.csv,cDJuwtDYaSg_0-8-rgb_front,Alright the drink that we are about to make is a Black and Tan.,this is a mock sentence,5,10,32,32,0.0,21.05,21.05,7.64
dWOtJxrH_Ww_0-8-rgb_front_W32_S32.csv,dWOtJxrH_Ww_0-8-rgb_front,"I'm Tim Gipson, and I'm going to talk to you about trouble shooting your refrigerator.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
a4uz0W33REs_0-5-rgb_front_W32_S32.csv,a4uz0W33REs_0-5-rgb_front,SARAH HAUER: Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
fslsm4MqBBE_0-8-rgb_front_W32_S32.csv,fslsm4MqBBE_0-8-rgb_front,Next we are going to be talking about the edge of a snowboard.,this is a mock sentence,5,10,32,32,0.0,11.11,11.11,0.0
0pKzG0RRUz4_0-2-rgb_front_W32_S32.csv,0pKzG0RRUz4_0-2-rgb_front,Another technique is you can braid the hair on first and then start wrapping cause some people have really short hair and we can create the look with adding the hair end.,this is a mock sentence,5,10,32,32,0.0,5.41,5.41,3.92
bUFsn9GQsCg_0-8-rgb_front_W32_S32.csv,bUFsn9GQsCg_0-8-rgb_front,I have some very good news for you about the Feral cat.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
C0fPZgeY2rg_0-5-rgb_front_W32_S32.csv,C0fPZgeY2rg_0-5-rgb_front,How does a snake grow?,this is a mock sentence,5,10,32,32,0.0,20.0,20.0,0.0
5Gw0TpbCMTQ_0-5-rgb_front_W32_S32.csv,5Gw0TpbCMTQ_0-5-rgb_front,"Hi, my name's Floyd, I'm talking to you today from theacousticmusician.com in Sandy, Utah, and we're going to talk about how to read guitar music today.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
4PKquZ1fUGk_0-2-rgb_front_W32_S32.csv,4PKquZ1fUGk_0-2-rgb_front,The first product that I'm going to talk to about is a product called Egyptian Magic.,this is a mock sentence,5,10,32,32,0.0,18.18,18.18,6.46
EmNBzTLRz-E_0-3-rgb_front_W32_S32.csv,EmNBzTLRz-E_0-3-rgb_front,ALICE MONSAERT: This exercise is what I call an advanced level lunge because the back leg is going to stay straight.,this is a mock sentence,5,10,32,32,0.0,15.38,15.38,19.8
DKOzSnHwSFI_0-5-rgb_front_W32_S32.csv,DKOzSnHwSFI_0-5-rgb_front,"Hi, my name is Dave Schoeneck and we're talking about how you're going to feel after your first day of adaptive skiing.",this is a mock sentence,5,10,32,32,0.0,6.9,6.9,5.35
aoJDJktJkzw_0-3-rgb_front_W32_S32.csv,aoJDJktJkzw_0-3-rgb_front,Okay so our kimchi is pretty all mixed up now and when you are doing this at home you can really set this aside and let the pickling process happen for a good solid 1/2 hour to a hour and you can see now already the different of the texture of the kimchi.,this is a mock sentence,5,10,32,32,0.0,10.17,6.78,9.57
dIIMHOX5AD8_0-8-rgb_front_W32_S32.csv,dIIMHOX5AD8_0-8-rgb_front,"Now that we've covered walking properly, lets work on focusing on One Point, so we're actually moving up the body as we go.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
4XgOVMG-zIo_0-1-rgb_front_W32_S32.csv,4XgOVMG-zIo_0-1-rgb_front,I'm going to show you how to make a Bluebird.,this is a mock sentence,5,10,32,32,0.0,12.5,12.5,0.0
Enhria4v_jo_0-5-rgb_front_W32_S32.csv,Enhria4v_jo_0-5-rgb_front,"Hi, I'm Judy Carrier with Jewels by Park Lane and I'm going to tell you how to clean your sterling silver jewelry.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
5RR7dlzkyL0_0-5-rgb_front_W32_S32.csv,5RR7dlzkyL0_0-5-rgb_front,"Now first of all, I want to tell you, when you are doing business over the phone, you automatically lose a huge part of your ability to communicate.",this is a mock sentence,5,10,32,32,0.0,6.06,6.06,0.0
afDfb8xx09w_0-3-rgb_front_W32_S32.csv,afDfb8xx09w_0-3-rgb_front,Now we're going to be talking about direction of the ball.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
Eh2AVkAQsxI_0-3-rgb_front_W32_S32.csv,Eh2AVkAQsxI_0-3-rgb_front,"Hi I'm Lauren, I'm going to be discussing how to add natural highlights at home.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
bb1Z5dw4N-s_0-8-rgb_front_W32_S32.csv,bb1Z5dw4N-s_0-8-rgb_front,Now there are a few disadvantages to impromptu speaking.,this is a mock sentence,5,10,32,32,0.0,14.29,14.29,0.0
a4Nxq0QV_WA_0-5-rgb_front_W32_S32.csv,a4Nxq0QV_WA_0-5-rgb_front,JASON JEANETTE: Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
0pKzG0RRUz4_0-1-rgb_front_W32_S32.csv,0pKzG0RRUz4_0-1-rgb_front,Another technique is you can braid the hair on first and then start wrapping cause some people have really short hair and we can create the look with adding the hair end.,this is a mock sentence,5,10,32,32,0.0,5.41,5.41,3.92
EjzQn4ReeeI_0-5-rgb_front_W32_S32.csv,EjzQn4ReeeI_0-5-rgb_front,"Alright, in this clip we'll be doing the upper body on our cute, more cartoonized angel, and we're just going to give him a simple, white robe.",this is a mock sentence,5,10,32,32,0.0,11.76,11.76,4.98
CzkLI34HFIg_0-5-rgb_front_W32_S32.csv,CzkLI34HFIg_0-5-rgb_front,So I'm going to take these pants over and go ahead and press them down.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
f5EGPzGSCJs_0-8-rgb_front_W32_S32.csv,f5EGPzGSCJs_0-8-rgb_front,Today we're going to talk about how to diagnose an ailment of your fish.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
c_ThRj8eAf0_0-8-rgb_front_W32_S32.csv,c_ThRj8eAf0_0-8-rgb_front,So we are in the roll your own portion of shotgun.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
ETOZLBScxWY_0-3-rgb_front_W32_S32.csv,ETOZLBScxWY_0-3-rgb_front,"Hi, this is John Stewart and this is some repair tips for your tent.",this is a mock sentence,5,10,32,32,0.0,21.05,21.05,31.13
DKJtnSrjIro_0-5-rgb_front_W32_S32.csv,DKJtnSrjIro_0-5-rgb_front,"So we have the bottom prepared, and we've got our little bowl that has the pedestal, and this is set up as well.",this is a mock sentence,5,10,32,32,0.0,13.79,13.79,10.83
DEdVsXBut4I_0-5-rgb_front_W32_S32.csv,DEdVsXBut4I_0-5-rgb_front,"Ace 2 suited, ace 3 suited; this is pretty much the best Omaha high low hand because what it gives you gives you the aces you can win the high if you catch another ace or two.",this is a mock sentence,5,10,32,32,0.0,9.52,9.52,7.29
ahJr2i50Qew_0-3-rgb_front_W32_S32.csv,ahJr2i50Qew_0-3-rgb_front,"One thing, as you notice we don't have any three point lines here but, that wasn't always part of the game and this court was probably created during, sometime during that period, is the three point line.",this is a mock sentence,5,10,32,32,0.0,9.09,9.09,8.6
CFRh_KOT9nY_0-5-rgb_front_W32_S32.csv,CFRh_KOT9nY_0-5-rgb_front,"Hi, this is Jon, and in this clip we'll be talking about the portable shop table.",this is a mock sentence,5,10,32,32,0.0,18.18,18.18,21.52
1G8LIWgKLME_0-2-rgb_front_W32_S32.csv,1G8LIWgKLME_0-2-rgb_front,To begin your dotted nail art you're going to need to use a stylus also known as a dotter.,this is a mock sentence,5,10,32,32,0.0,8.0,8.0,0.0
2ri5HYm48MA_0-2-rgb_front_W32_S32.csv,2ri5HYm48MA_0-2-rgb_front,REBECCA SATO: Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
bcNtUYh3GNs_0-8-rgb_front_W32_S32.csv,bcNtUYh3GNs_0-8-rgb_front,I'm Veronyka Bass from Veronyka's Color Salon and Day Spa.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
cS44xaCZy7A_0-8-rgb_front_W32_S32.csv,cS44xaCZy7A_0-8-rgb_front,We're now going to start lunging the horse.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
CSxgJLYMLZ4_0-5-rgb_front_W32_S32.csv,CSxgJLYMLZ4_0-5-rgb_front,"Another very good use, although a slightly more risky use of a wading wedge is carrying a backboard in a cross moving current.",this is a mock sentence,5,10,32,32,0.0,14.29,14.29,5.97
-d5dN54tH2E_0-1-rgb_front_W32_S32.csv,-d5dN54tH2E_0-1-rgb_front,We're going to work on a arm drill that will help you have graceful hand movements in front of you.,this is a mock sentence,5,10,32,32,0.0,7.69,7.69,0.0
dQJyDM9pKR8_0-8-rgb_front_W32_S32.csv,dQJyDM9pKR8_0-8-rgb_front,Effleurage is a massage stroke that basically just stroking the horse.,this is a mock sentence,5,10,32,32,0.0,25.0,25.0,8.77
4XlVMRXLydg_0-5-rgb_front_W32_S32.csv,4XlVMRXLydg_0-5-rgb_front,We're going to do gathering chi from heaven and earth.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
-f1_kdl050s_0-1-rgb_front_W32_S32.csv,-f1_kdl050s_0-1-rgb_front,In this clip we are going to talk about dangers for these birds in the household and otherwise.,this is a mock sentence,5,10,32,32,0.0,8.7,8.7,6.12
a4Nxq0QV_WA_0-3-rgb_front_W32_S32.csv,a4Nxq0QV_WA_0-3-rgb_front,JASON JEANETTE: Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
33jxeIIbBnM_0-1-rgb_front_W32_S32.csv,33jxeIIbBnM_0-1-rgb_front,"Hi, my name is Dave Andrews.",this is a mock sentence,5,10,32,32,0.0,18.18,18.18,11.52
Enhria4v_jo_0-3-rgb_front_W32_S32.csv,Enhria4v_jo_0-3-rgb_front,"Hi, I'm Judy Carrier with Jewels by Park Lane and I'm going to tell you how to clean your sterling silver jewelry.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
204P_kHHWks_0-2-rgb_front_W32_S32.csv,204P_kHHWks_0-2-rgb_front,Now I've been applying product to both eyes and I'm finishing out the top of the left side of her eye.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
3TrMyzNWGpY_0-2-rgb_front_W32_S32.csv,3TrMyzNWGpY_0-2-rgb_front,Hi everybody I'm John Graden from the Martial Arts Teacher's Association and johngraden.com.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
dKumOzqVk3M_0-8-rgb_front_W32_S32.csv,dKumOzqVk3M_0-8-rgb_front,"Hello, this is JB, I'm with Austin Homebrew Supply in Austin, Texas.",this is a mock sentence,5,10,32,32,0.0,22.22,22.22,16.83
EhYk6e-jtWg_0-5-rgb_front_W32_S32.csv,EhYk6e-jtWg_0-5-rgb_front,"Alright, the drink that we are about to make is a Claridge Cocktail.",this is a mock sentence,5,10,32,32,0.0,22.22,22.22,7.97
EmNBzTLRz-E_0-5-rgb_front_W32_S32.csv,EmNBzTLRz-E_0-5-rgb_front,ALICE MONSAERT: This exercise is what I call an advanced level lunge because the back leg is going to stay straight.,this is a mock sentence,5,10,32,32,0.0,15.38,15.38,19.8
4CSSlWonj3E_0-2-rgb_front_W32_S32.csv,4CSSlWonj3E_0-2-rgb_front,RICHARD BUCCOLA: Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
CO6qyvvglAE_0-5-rgb_front_W32_S32.csv,CO6qyvvglAE_0-5-rgb_front,And now we're going to talk about some inputs that you can run through your board.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
a4uz0W33REs_0-3-rgb_front_W32_S32.csv,a4uz0W33REs_0-3-rgb_front,SARAH HAUER: Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
DdzxfgB4W2c_0-5-rgb_front_W32_S32.csv,DdzxfgB4W2c_0-5-rgb_front,Okay.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
bIUmw2DVW7Q_0-3-rgb_front_W32_S32.csv,bIUmw2DVW7Q_0-3-rgb_front,A wrist control that we can use from a slashing attack.,this is a mock sentence,5,10,32,32,0.0,12.5,12.5,0.0
